Type,MPG,Cargo_Volume,Ground_Clearance,Price,Reliability_Rating,Climate_Control_Reliability,Viability_Score
Used Hearse,17.038195176094387,105.7378125374376,5.094151910125698,20318.48248901951,7,3,56.78307036458511
Minivan (Sienna/Odyssey),19.507736711668063,47.545403903303395,11.309905646049565,26679.27517441529,2,10,25.069325477377696
Tacoma,17.826441151473784,116.53455926567568,8.34268294598612,6530.5294429482765,6,7,82.26689388613084
Used Hearse,12.156609811902339,118.41332256447097,5.343663192609103,5870.914603707478,1,7,55.95647745964709
Used Hearse,23.714114072575104,113.06516363194478,5.282430898686512,11660.200254314539,3,1,54.873802647153305
Minivan (Sienna/Odyssey),21.759665163433873,72.02555444230327,7.8291631288367975,8945.885083508838,2,9,41.18042443565692
Tacoma,21.955159735215233,130.0,8.923405306676177,31025.290564358253,7,2,73.47683506935158
Tacoma,13.453062726026305,122.66022527329613,5.0,10795.633608099375,4,5,63.140663908346205
Used Hearse,25.013971554680495,117.31749192305838,5.390728365613613,34251.82293039307,8,5,55.21605099321219
Work Truck (F-250/350),11.702029216747823,99.14712852863066,10.229792282068145,14443.769544904313,6,8,72.86312350566944
Used Hearse,20.934285469001352,122.14207370015552,5.798344188224329,9645.655386349677,10,8,87.55526776616315
Used Hearse,28.952278129049894,124.18587643011372,5.371932667916865,28480.653721416853,4,7,49.83104176070003
Used Hearse,13.047318374346558,125.31211979220173,5.451696819231683,24419.94104052716,5,7,57.71785537145983
Used Hearse,15.16851135198614,107.61924623716074,5.397381390485316,19444.06721004731,9,6,66.55170571706125
Minivan (Sienna/Odyssey),18.498256825438204,101.75273460548763,6.380720959071915,21216.27007906657,7,6,58.40079140484473
Tacoma,15.482621729419003,30.0,5.665085823793062,26295.255126440177,10,9,24.440069700324454
Minivan (Sienna/Odyssey),10.246682844669337,34.502244620026744,8.587535765293044,11082.09698127026,9,6,46.73989162139529
Minivan (Sienna/Odyssey),18.342814874030136,30.0,5.0648816671549035,34886.351397759005,7,2,4.415485178644355
Minivan (Sienna/Odyssey),12.688481431369475,61.917794966663266,9.224758267143415,34218.58802655028,1,2,15.265613603943978
Used Hearse,20.36796215317591,100.93346799752074,5.093407971975296,24160.096276755045,8,5,54.40784511281904
Work Truck (F-250/350),14.94514179175087,115.07071156288085,11.08746691197693,10185.8159788035,4,4,80.91305257471639
Tacoma,25.749672025087698,72.22284341259325,9.41779244723913,25087.07551537003,3,2,36.243673480463464
Work Truck (F-250/350),13.13088085796569,118.85846636713876,8.768089202941628,6238.150678354451,7,3,88.7017042790698
Minivan (Sienna/Odyssey),16.38969241897162,30.0,10.948072951836542,4950.227568379988,3,7,37.048652214725905
Minivan (Sienna/Odyssey),22.067586086848348,30.0,12.99642333338773,11988.169543847624,8,8,55.473795427056814
Work Truck (F-250/350),12.656582602840295,68.33356903310144,11.04311019505439,18341.311658918807,6,6,56.1999391093321
Work Truck (F-250/350),14.190760917759622,81.52196346817922,5.0,30916.447667659795,5,5,27.60301344497218
Work Truck (F-250/350),11.426451691786582,69.01915755717721,5.0,26542.24116275555,4,1,21.395406140535652
Minivan (Sienna/Odyssey),10.0,30.0,6.125544266912963,27023.902157199413,8,8,18.44206619413448
Minivan (Sienna/Odyssey),18.92316929266152,67.32639881461635,8.078273150632501,17190.293367890336,8,3,53.31483424122857
